omega_rad_per_sample,abs_q_true_1_from_2,abs_q_hat_1_from_2,abs_q_hat_2_from_1
0.05000000,0.43732924,0.43732924,0.00000000
0.06192781,0.43723816,0.43723816,0.00000000
0.07385563,0.43712777,0.43712777,0.00000000
0.08578344,0.43699813,0.43699813,0.00000000
0.09771126,0.43684931,0.43684931,0.00000000
0.10963907,0.43668140,0.43668140,0.00000000
0.12156689,0.43649447,0.43649447,0.00000000
0.13349470,0.43628864,0.43628864,0.00000000
0.14542251,0.43606400,0.43606400,0.00000000
0.15735033,0.43582069,0.43582069,0.00000000
0.16927814,0.43555883,0.43555883,0.00000000
0.18120596,0.43527855,0.43527855,0.00000000
0.19313377,0.43498001,0.43498001,0.00000000
0.20506159,0.43466336,0.43466336,0.00000000
0.21698940,0.43432877,0.43432877,0.00000000
0.22891721,0.43397640,0.43397640,0.00000000
0.24084503,0.43360645,0.43360645,0.00000000
0.25277284,0.43321911,0.43321911,0.00000000
0.26470066,0.43281456,0.43281456,0.00000000
0.27662847,0.43239302,0.43239302,0.00000000
0.28855629,0.43195470,0.43195470,0.00000000
0.30048410,0.43149982,0.43149982,0.00000000
0.31241192,0.43102860,0.43102860,0.00000000
0.32433973,0.43054129,0.43054129,0.00000000
0.33626754,0.43003811,0.43003811,0.00000000
0.34819536,0.42951931,0.42951931,0.00000000
0.36012317,0.42898515,0.42898515,0.00000000
0.37205099,0.42843588,0.42843588,0.00000000
0.38397880,0.42787177,0.42787177,0.00000000
0.39590662,0.42729307,0.42729307,0.00000000
0.40783443,0.42670007,0.42670007,0.00000000
0.41976224,0.42609303,0.42609303,0.00000000
0.43169006,0.42547224,0.42547224,0.00000000
0.44361787,0.42483797,0.42483797,0.00000000
0.45554569,0.42419052,0.42419052,0.00000000
0.46747350,0.42353017,0.42353017,0.00000000
0.47940132,0.42285722,0.42285722,0.00000000
0.49132913,0.42217196,0.42217196,0.00000000
0.50325694,0.42147468,0.42147468,0.00000000
0.51518476,0.42076569,0.42076569,0.00000000
0.52711257,0.42004528,0.42004528,0.00000000
0.53904039,0.41931376,0.41931376,0.00000000
0.55096820,0.41857143,0.41857143,0.00000000
0.56289602,0.41781859,0.41781859,0.00000000
0.57482383,0.41705554,0.41705554,0.00000000
0.58675164,0.41628260,0.41628260,0.00000000
0.59867946,0.41550007,0.41550007,0.00000000
0.61060727,0.41470824,0.41470824,0.00000000
0.62253509,0.41390743,0.41390743,0.00000000
0.63446290,0.41309794,0.41309794,0.00000000
0.64639072,0.41228007,0.41228007,0.00000000
0.65831853,0.41145412,0.41145412,0.00000000
0.67024635,0.41062039,0.41062039,0.00000000
0.68217416,0.40977918,0.40977918,0.00000000
0.69410197,0.40893080,0.40893080,0.00000000
0.70602979,0.40807553,0.40807553,0.00000000
0.71795760,0.40721366,0.40721366,0.00000000
0.72988542,0.40634550,0.40634550,0.00000000
0.74181323,0.40547132,0.40547132,0.00000000
0.75374105,0.40459143,0.40459143,0.00000000
0.76566886,0.40370609,0.40370609,0.00000000
0.77759667,0.40281559,0.40281559,0.00000000
0.78952449,0.40192021,0.40192021,0.00000000
0.80145230,0.40102023,0.40102023,0.00000000
0.81338012,0.40011591,0.40011591,0.00000000
0.82530793,0.39920753,0.39920753,0.00000000
0.83723575,0.39829536,0.39829536,0.00000000
0.84916356,0.39737965,0.39737965,0.00000000
0.86109137,0.39646066,0.39646066,0.00000000
0.87301919,0.39553866,0.39553866,0.00000000
